medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Imukin 2 X 10⁶ UI (0,1 mg), solution injectable – [interféron gamma-1b]",Remise à disposition,Infectiologie,2026-05-04,2026-05-04,2026-05-04,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imukin-2-x-106-ui-0-1-mg-solution-injectable-interferon-gamma-1b,interféron gamma-1b,Imukin 2 X 10⁶ UI (0
"Cardiorythmine 50 mg/10 ml, solution injectable – [ajmaline]",Arrêt de commercialisation,Cardiologie,2026-05-04,2011-11-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardiorythmine-50-mg-10-ml-solution-injectable-ajmaline,ajmaline,Cardiorythmine 50 mg/10 ml
"Chlorhydrate d'oxybuprocaïne Thea 1,6 mg/0,4 ml, collyre en récipient unidose – Boites de 20 unidoses et boites de 100 unidoses – [chlorhydrate d'oxybuprocaïne]",Tension d'approvisionnement,Ophtalmologie,2026-04-30,2025-12-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chlorhydrate-doxybuprocaine-thea-1-6-mg-0-4-ml-collyre-en-recipient-unidose-boites-de-20-unidoses-et-boites-de-100-unidoses-chlorhydrate-doxybuprocaine,chlorhydrate d'oxybuprocaïne,Chlorhydrate d'oxybuprocaïne Thea 1
"Digidot 80mg, poudre pour solution pour perfusion (Digifab importation) – [Fragment Fab d’immunoglobuline antidigitalique ovin]",Arrêt de commercialisation,Cardiologie,2026-04-28,2011-04-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/digidot-80mg-poudre-pour-solution-pour-perfusion-digifab-importation-fragment-fab-dimmunoglobuline-antidigitalique-ovin,Fragment Fab d’immunoglobuline antidigitalique ovin,Digidot 80mg
"Imogam Rage 150 UI/mL, solution injectable – [Immunoglobuline humaine rabique]",Arrêt de commercialisation,Infectiologie,2026-04-28,2022-12-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imogam-rage-150-ui-ml-solution-injectable-immunoglobuline-humaine-rabique,Immunoglobuline humaine rabique,Imogam Rage 150 UI/mL
"Lyrica 20 mg/ml, solution buvable – [prégabaline]",Remise à disposition,"Psychiatrie, Neurologie",2026-04-27,2026-04-27,2026-04-27,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lyrica-20-mg-ml-solution-buvable-pregabaline,prégabaline,Lyrica 20 mg/ml
"Dopamine Viatris 40 mg/ml, solution pour perfusion – [dopamine (chlorhydrate de)]",Remise à disposition,Cardiologie,2026-04-27,2026-04-24,2026-04-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dopamine-viatris-40-mg-ml-solution-pour-perfusion-dopamine-chlorhydrate-de,dopamine (chlorhydrate de),Dopamine Viatris 40 mg/ml
"Tibéral 1 g, solution injectable pour perfusion – [ornidazole]",Rupture de stock,Infectiologie,2026-04-27,2025-11-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tiberal-1-g-solution-injectable-pour-perfusion-ornidazole,ornidazole,Tibéral 1 g
"Mitomycine Accord 10 mg, poudre pour solution injectable / perfusion ou voie intravésicale – [mitomycine]",Rupture de stock,Oncologie/Radiothérapie,2026-04-24,2026-04-24,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mitomycine-accord-10-mg-poudre-pour-solution-injectable-perfusion-ou-voie-intravesicale-mitomycine,mitomycine,Mitomycine Accord 10 mg
"Bendamustine Hikma 2,5 mg/ml, poudre pour solution à diluer pour perfusion – [bendamustine (chlorhydrate de) monohydraté]",Remise à disposition,Oncologie/Radiothérapie,2026-04-23,2026-04-23,2026-04-23,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/bendamustine-hikma-2-5-mg-ml-poudre-pour-solution-a-diluer-pour-perfusion-bendamustine-chlorhydrate-de-monohydrate,bendamustine (chlorhydrate de) monohydraté,Bendamustine Hikma 2
"Protexel 50 UI/mL, poudre et solvant pour solution injectable – [protéine C humaine]",Remise à disposition,Hématologie,2026-04-22,2026-04-22,2026-04-22,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/protexel-50-ui-ml-poudre-et-solvant-pour-solution-injectable-proteine-c-humaine,protéine C humaine,Protexel 50 UI/mL
"Nitrendipine Viatris 10 mg, comprimé et Nitrendipine Viatris 20 mg, comprimé sécable - [nitrendipine]",Tension d'approvisionnement,Cardiologie,,2026-03-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/nitrendipine-viatris-10-mg-comprime-et-nitrendipine-viatris-20-mg-comprime-secable-nitrendipine,nitrendipine,Nitrendipine Viatris 10 mg
"Zypadhera 405 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-405-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 405 mg
"Zypadhera 210 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-210-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 210 mg
"Visudyne 15 mg, poudre pour solution pour perfusion – [vertéporfine]",Tension d'approvisionnement,Ophtalmologie,2026-04-21,2023-12-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/visudyne-15-mg-poudre-pour-solution-pour-perfusion-verteporfine,vertéporfine,Visudyne 15 mg
