medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Fiasp Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte (levure/saccharomyces cerevisiae)]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte (levure/saccharomyces cerevisiae),Fiasp Pumpcart 100 unités/ml
"Fiasp Flextouch 100 unités/ml, solution injectable en stylo prérempli – [insuline asparte ((levure/saccharomyces cerevisiae))]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-flextouch-100-unites-ml-solution-injectable-en-stylo-prerempli-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte ((levure/saccharomyces cerevisiae)),Fiasp Flextouch 100 unités/ml
"Persantine 10 mg/2 mL, solution injectable, ampoule – [dipyridamole]",Remise à disposition,"Imagerie/Radiologie, Cardiologie, Médecine nucléaire",2026-05-18,2026-05-18,2026-05-18,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/persantine-10-mg-2-ml-solution-injectable-ampoule-dipyridamole,dipyridamole,Persantine 10 mg/2 mL
"Néosynéphrine 10 % Faure, collyre en récipient unidose – [phényléphrine]",Rupture de stock,Ophtalmologie,2026-05-18,2025-10-13,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/neosynephrine-10-faure-collyre-en-recipient-unidose-phenylephrine,phényléphrine,Néosynéphrine 10 % Faure
"Kenacort Retard 40 mg/1 ml, suspension injectable – [triamcinolone (acétonide de)]",Tension d'approvisionnement,"Dermatologie, Rhumatologie",2026-05-18,2026-02-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/kenacort-retard-40-mg-1-ml-suspension-injectable-triamcinolone-acetonide-de,triamcinolone (acétonide de),Kenacort Retard 40 mg/1 ml
"Toujeo 300 unités/ml DoubleStar, solution injectable en stylo prérempli – [insuline glargine ((bactérie/Escherichia Coli))]",Remise à disposition,Endocrinologie,2026-05-18,2026-05-15,2026-05-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/toujeo-300-unites-ml-doublestar-solution-injectable-en-stylo-prerempli-insuline-glargine-bacterie-escherichia-coli,insuline glargine ((bactérie/Escherichia Coli)),Toujeo 300 unités/ml DoubleStar
"Mitomycine Accord 20 mg, poudre pour solution injectable / perfusion ou voie intravésicale – [mitomycine]",Tension d'approvisionnement,Oncologie/Radiothérapie,2026-05-13,2025-05-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mitomycine-accord-20-mg-poudre-pour-solution-injectable-perfusion-ou-voie-intravesicale-mitomycine,mitomycine,Mitomycine Accord 20 mg
"Un-Alfa 0,10 microgramme, solution buvable en gouttes – [alfacalcidol]",Remise à disposition,"Endocrinologie, Néphrologie",2026-05-13,2025-11-19,2025-11-19,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/un-alfa-0-10-microgramme-solution-buvable-en-gouttes-alfacalcidol,alfacalcidol,Un
"Cyanokit 5 g, poudre pour solution pour perfusion – [hydroxocobalamine]",Remise à disposition,Anesthésie/Réanimation/Soins intensifs,2026-05-12,2026-05-12,2026-05-12,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cyanokit-5-g-poudre-pour-solution-pour-perfusion-hydroxocobalamine,hydroxocobalamine,Cyanokit 5 g
"Dexocol 1 mg/mL, collyre en solution – [dexaméthasone (phosphate sodique de)]",Tension d'approvisionnement,Ophtalmologie,2026-05-12,2025-03-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dexocol-1-mg-ml-collyre-en-solution-dexamethasone-phosphate-sodique-de,dexaméthasone (phosphate sodique de),Dexocol 1 mg/mL
"Concerta LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-12,2026-05-12,2026-05-12,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-18-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 18 mg
"Oncovin 1 mg, solution injectable – [vincristine (sulfate de)]",Remise à disposition,Oncologie/Radiothérapie,2026-05-11,2026-02-20,2026-02-20,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/oncovin-1-mg-solution-injectable-vincristine-sulfate-de,vincristine (sulfate de),Oncovin 1 mg
"Victan 2 mg, comprimé pelliculé sécable – [loflazépate d'éthyle]",Rupture de stock,"Addictologie, Neurologie",2026-05-11,2026-01-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/victan-2-mg-comprime-pellicule-secable-loflazepate-dethyle,loflazépate d'éthyle,Victan 2 mg
"Lonquex 6 mg/0,6 mL, solution injectable – [lipegfilgrastim ((bacterie/escherichia coli))]",Tension d'approvisionnement,Oncologie/Radiothérapie,,2026-03-11,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lonquex-6-mg-0-6-ml-solution-injectable-lipegfilgrastim-bacterie-escherichia-coli,lipegfilgrastim ((bacterie/escherichia coli)),Lonquex 6 mg/0
"Concerta LP 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-07,2026-05-05,2026-05-05,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 54 mg
"Ritonavir Arrow 100 mg, comprimé pelliculé – [ritonavir]",Rupture de stock,Infectiologie,2026-05-07,2026-05-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ritonavir-arrow-100-mg-comprime-pellicule-ritonavir,ritonavir,Ritonavir Arrow 100 mg
"Biltricide 600 mg, comprimé pelliculé quadrisécable – [praziquantel]",Rupture de stock,Infectiologie,2026-05-06,2024-09-09,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/biltricide-600-mg-comprime-pellicule-quadrisecable-praziquantel,praziquantel,Biltricide 600 mg
"Omjjara 100 mg, comprimé pelliculé – [momélotinib (dichlorhydrate de)]",Remise à disposition,Hématologie,2026-05-06,2026-05-06,2026-05-06,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/omjjara-100-mg-comprime-pellicule-momelotinib-dichlorhydrate-de,momélotinib (dichlorhydrate de),Omjjara 100 mg
