medicament,statut,domaine,date_maj,date_debut,date_remise,url
"Linézolide Arrow 600 mg, comprimé pelliculé – [linezolide]",Rupture de stock,Pneumologie,,2026-06-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/linezolide-arrow-600-mg-comprime-pellicule-linezolide
"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée - [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,2026-06-24,2026-06-24,2026-06-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-300-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate
"Héparine calcique Panpharma 25 000 UI/mL, solution injectable en seringue pré-remplie de 0,2 ml  (S.C.) – [héparine calcique]",Tension d'approvisionnement,Cardiologie,2026-06-24,2026-03-05,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/heparine-calcique-panpharma-25-000-ui-ml-solution-injectable-en-seringue-pre-remplie-de-0-2-ml-s-c-heparine-calcique
"Atgam 50 mg/mL, solution à diluer pour perfusion – [immunoglobuline équine anti-lymphocyte T humain]",Tension d'approvisionnement,Immunologie,2026-06-24,2026-03-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/atgam-50-mg-ml-solution-a-diluer-pour-perfusion-immunoglobuline-equine-anti-lymphocyte-t-humain
"Synarel 0,2 mg/dose, solution pour pulvérisation nasale – [nafaréline (acétate de)]",Tension d'approvisionnement,Gynécologie,2026-06-24,2026-03-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synarel-0-2-mg-dose-solution-pour-pulverisation-nasale-nafareline-acetate-de
"Zyvoxid 100 mg/5 ml, granulés pour suspension buvable – [linézolide]",Remise à disposition,Pneumologie,2026-06-24,2026-06-24,2026-06-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zyvoxid-100-mg-5-ml-granules-pour-suspension-buvable-linezolide
"Rifinah 300 mg/150 mg, comprimé enrobé – [isoniazide, rifampicine]",Tension d'approvisionnement,Infectiologie,2026-06-22,2025-09-23,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifinah-300-mg-150-mg-comprime-enrobe-isoniazide-rifampicine
"Rifadine 300 mg, gélule (boites de 8 et de 30 gélules) – [rifampicine]",Tension d'approvisionnement,Infectiologie,2026-06-22,2024-03-21,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifadine-300-mg-gelule-rifampicine
"Dilantin 250 mg/5 ml, solution injectable – [phénytoïne sodique]",Rupture de stock,Neurologie,2026-06-19,2025-10-01,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dilantin-250-mg-5-ml-solution-injectable-phenytoine-sodique
"Cardioxane 500 mg, poudre pour solution pour perfusion – [dexrazoxane (chlorhydrate de)]",Remise à disposition,Oncologie/Radiothérapie,2026-06-19,2026-06-18,2026-06-18,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardioxane-500-mg-poudre-pour-solution-pour-perfusion-dexrazoxane-chlorhydrate-de
"Voltarenophtabak 1 mg/ml, collyre en solution et Voltarenophta 0,1 pour cent (0,3 mg/0,3 ml), collyre en solution en récipient unidose – [diclofénac sodique]",Tension d'approvisionnement,Ophtalmologie,,2025-09-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/voltarenophtabak-1-mg-ml-collyre-en-solution-et-voltarenophta-0-1-pour-cent-0-3-mg-0-3-ml-collyre-en-solution-en-recipient-unidose-diclofenac-sodique
